ticker,company,country,industry
296,Intertainment AG,Germany,MediaEntertainment
297,R Stahl AG,Germany,CapitalGoods
298,SMT Scharf AG,Germany,CapitalGoods
299,Nexus AG,Germany,HealthCareEquipmentServices
300,LPKF Laser & Electronics SE,Germany,TechnologyHardwareEquipment
301,Nicolas Correa SA,Spain,CapitalGoods
302,Pyramid AG,Germany,TechnologyHardwareEquipment
303,Webuild SpA,Italy,CapitalGoods
304,Trifast PLC,UK,CapitalGoods
305,TC Unterhaltungselektronik AG,Germany,HotelsRestaurantsConsumerServices
306,7C Solarparken AG,Germany,Utilities
307,SHS Viveon AG,Germany,SoftwareServices
308,IVU Traffic Technologies AG,Germany,SoftwareServices
309,Tas Tecnologia Avanzata dei Sistemi SpA,Italy,SoftwareServices
310,GFT Technologies SE,Germany,SoftwareServices
311,Nynomic AG,Germany,TechnologyHardwareEquipment
312,mVISE AG,Germany,SoftwareServices
313,Irce SpA,Italy,CapitalGoods
314,Visibilia Editore SpA,Italy,MediaEntertainment
315,Piscines Desjoyaux SA,France,HotelsRestaurantsConsumerServices
316,ORAPI,France,Materials
317,Coats Group PLC,UK,HotelsRestaurantsConsumerServices
318,Colas SA,France,CapitalGoods
319,Envea SA,France,TechnologyHardwareEquipment
320,Fountaine Pajot SA,France,HotelsRestaurantsConsumerServices
321,Prodware,France,SoftwareServices
322,Emova Group SA,France,HotelsRestaurantsConsumerServices
323,NSE,France,CapitalGoods
324,DNXcorp SE,France,MediaEntertainment
325,Trilogiq,France,CapitalGoods
326,Voyageurs du Monde,France,HotelsRestaurantsConsumerServices
327,Greiffenberger AG,Germany,CapitalGoods
328,Hitechpros,France,SoftwareServices
329,Oriole Resources PLC,UK,Materials
330,YOC AG,Germany,MediaEntertainment
331,HELMA Eigenheimbau AG,Germany,HotelsRestaurantsConsumerServices
332,Akka Technologies,France,CommercialProfessionalServices
333,MAN SE,Germany,CapitalGoods
334,Wedia SA,France,SoftwareServices
335,Salvatore Ferragamo SpA,Italy,HotelsRestaurantsConsumerServices
336,Amadeus IT Group SA,Spain,HotelsRestaurantsConsumerServices
337,RIB Software SE,Germany,SoftwareServices
338,Cie des Alpes,France,HotelsRestaurantsConsumerServices
339,Biosynex,France,HealthCareEquipmentServices
340,Norma Group SE,Germany,CapitalGoods
341,Moncler SpA,Italy,HotelsRestaurantsConsumerServices
342,Klarsen SA,France,MediaEntertainment
343,Verallia SA,France,Materials
344,Clearvise AG,Germany,Utilities
345,Distribuidora Internacional de Alimentacion SA,Spain,HotelsRestaurantsConsumerServices
346,Concentric AB,UK,CapitalGoods
347,Axway Software SA,France,SoftwareServices
348,Catenon SA,Spain,CommercialProfessionalServices
349,Adler Modemaerkte AG,Germany,HotelsRestaurantsConsumerServices
350,Learning Technologies Group PLC,UK,CommercialProfessionalServices
351,Visiomed Group SACA,France,HealthCareEquipmentServices
352,Sesa SpA,Italy,TechnologyHardwareEquipment
353,dotdigital group plc,UK,SoftwareServices
354,NeXR Technologies SE,Germany,TechnologyHardwareEquipment
355,Intrasense SAS,France,HealthCareEquipmentServices
356,Sqli SA,France,SoftwareServices
357,Pan African Resources PLC,UK,Materials
358,OSRAM Licht AG,Germany,CapitalGoods
359,Redcentric PLC,UK,SoftwareServices
360,Coca-Cola HBC AG,Italy,FoodBeverageTobacco
361,Coca-Cola HBC AG,Italy,FoodBeverageTobacco
362,DCC PLC,UK,CapitalGoods
363,Fnac Darty SA,France,HotelsRestaurantsConsumerServices
364,Italia Independent Group SpA,Italy,HotelsRestaurantsConsumerServices
